TEAM,Vegas Insider,Five Thirty Eight,3 Letter Code
Arizona Diamondbacks,Arizona,Diamondbacks,ARI
Atlanta Braves,Atlanta,Braves,ATL
Baltimore Orioles,Baltimore,Orioles,BAL
Boston Red Sox,Boston,Red Sox,BOS
Chicago Cubs,Chi. Cubs,Cubs,CHC
Chicago White Sox,Chi. White Sox,White Sox,CHW
Cincinnati Reds,Cincinnati,Reds,CIN
Cleveland Indians,Cleveland,Indians,CLE
Colorado Rockies,Colorado,Rockies,COL
Detroit Tigers,Detroit,Tigers,DET
Houston Astros,Houston,Astros,HOU
Kansas City Royals,Kansas City,Royals,KCR
Los Angeles Angels,L.A. Angels,Angels,ANA
Los Angeles Dodgers,L.A. Dodgers,Dodgers,LAD
Miami Marlins,Miami,Marlins,FLA
Milwaukee Brewers,Milwaukee,Brewers,MIL
Minnesota Twins,Minnesota,Twins,MIN
New York Mets,N.Y. Mets,Mets,NYM
New York Yankees,N.Y. Yankees,Yankees,NYY
Oakland Athletics,Oakland,Athletics,OAK
Philadelphia Phillies,Philadelphia,Phillies,PHI
Pittsburgh Pirates,Pittsburgh,Pirates,PIT
San Diego Padres,San Diego,Padres,SDP
San Francisco Giants,San Francisco,Giants,SFG
Seattle Mariners,Seattle,Mariners,SEA
St. Louis Cardinals,St. Louis,Cardinals,STL
Tampa Bay Rays,Tampa Bay,Rays,TBD
Texas Rangers,Texas,Rangers,TEX
Toronto Blue Jays,Toronto,Blue Jays,TOR
Washington Nationals,Washington,Nationals,WSN